model,dx,dy,accuracy
mlp_center_cpu,-18,-18,0.1449
mlp_center_cpu,-12,-18,0.1089
mlp_center_cpu,-6,-18,0.0761
mlp_center_cpu,0,-18,0.061
mlp_center_cpu,6,-18,0.1148
mlp_center_cpu,12,-18,0.0652
mlp_center_cpu,18,-18,0.1
mlp_center_cpu,-18,-12,0.0711
mlp_center_cpu,-12,-12,0.0992
mlp_center_cpu,-6,-12,0.0632
mlp_center_cpu,0,-12,0.1106
mlp_center_cpu,6,-12,0.1591
mlp_center_cpu,12,-12,0.0981
mlp_center_cpu,18,-12,0.0968
mlp_center_cpu,-18,-6,0.084
mlp_center_cpu,-12,-6,0.1012
mlp_center_cpu,-6,-6,0.1139
mlp_center_cpu,0,-6,0.2792
mlp_center_cpu,6,-6,0.1708
mlp_center_cpu,12,-6,0.087
mlp_center_cpu,18,-6,0.093
mlp_center_cpu,-18,0,0.1145
mlp_center_cpu,-12,0,0.1137
mlp_center_cpu,-6,0,0.1579
mlp_center_cpu,0,0,0.8748
mlp_center_cpu,6,0,0.2006
mlp_center_cpu,12,0,0.1463
mlp_center_cpu,18,0,0.1158
mlp_center_cpu,-18,6,0.1015
mlp_center_cpu,-12,6,0.1465
mlp_center_cpu,-6,6,0.1402
mlp_center_cpu,0,6,0.3885
mlp_center_cpu,6,6,0.1385
mlp_center_cpu,12,6,0.0773
mlp_center_cpu,18,6,0.0866
mlp_center_cpu,-18,12,0.0996
mlp_center_cpu,-12,12,0.1003
mlp_center_cpu,-6,12,0.1229
mlp_center_cpu,0,12,0.157
mlp_center_cpu,6,12,0.1164
mlp_center_cpu,12,12,0.0797
mlp_center_cpu,18,12,0.0959
mlp_center_cpu,-18,18,0.0999
mlp_center_cpu,-12,18,0.0993
mlp_center_cpu,-6,18,0.094
mlp_center_cpu,0,18,0.0882
mlp_center_cpu,6,18,0.1374
mlp_center_cpu,12,18,0.1788
mlp_center_cpu,18,18,0.1036
cnn_center_cpu,-18,-18,0.1062
cnn_center_cpu,-12,-18,0.1055
cnn_center_cpu,-6,-18,0.1334
cnn_center_cpu,0,-18,0.0425
cnn_center_cpu,6,-18,0.0559
cnn_center_cpu,12,-18,0.0711
cnn_center_cpu,18,-18,0.0314
cnn_center_cpu,-18,-12,0.0938
cnn_center_cpu,-12,-12,0.0623
cnn_center_cpu,-6,-12,0.0631
cnn_center_cpu,0,-12,0.1247
cnn_center_cpu,6,-12,0.0249
cnn_center_cpu,12,-12,0.0691
cnn_center_cpu,18,-12,0.1111
cnn_center_cpu,-18,-6,0.0635
cnn_center_cpu,-12,-6,0.0698
cnn_center_cpu,-6,-6,0.0728
cnn_center_cpu,0,-6,0.2908
cnn_center_cpu,6,-6,0.1049
cnn_center_cpu,12,-6,0.0709
cnn_center_cpu,18,-6,0.0788
cnn_center_cpu,-18,0,0.1529
cnn_center_cpu,-12,0,0.1305
cnn_center_cpu,-6,0,0.2034
cnn_center_cpu,0,0,0.9079
cnn_center_cpu,6,0,0.1826
cnn_center_cpu,12,0,0.1319
cnn_center_cpu,18,0,0.0754
cnn_center_cpu,-18,6,0.1566
cnn_center_cpu,-12,6,0.1253
cnn_center_cpu,-6,6,0.1654
cnn_center_cpu,0,6,0.4441
cnn_center_cpu,6,6,0.1423
cnn_center_cpu,12,6,0.0614
cnn_center_cpu,18,6,0.0743
cnn_center_cpu,-18,12,0.1619
cnn_center_cpu,-12,12,0.0954
cnn_center_cpu,-6,12,0.1036
cnn_center_cpu,0,12,0.2419
cnn_center_cpu,6,12,0.1776
cnn_center_cpu,12,12,0.0504
cnn_center_cpu,18,12,0.0718
cnn_center_cpu,-18,18,0.1589
cnn_center_cpu,-12,18,0.0998
cnn_center_cpu,-6,18,0.0835
cnn_center_cpu,0,18,0.1495
cnn_center_cpu,6,18,0.1766
cnn_center_cpu,12,18,0.0838
cnn_center_cpu,18,18,0.0895
vit_abspos_center_cpu,-18,-18,0.1217
vit_abspos_center_cpu,-12,-18,0.2024
vit_abspos_center_cpu,-6,-18,0.2896
vit_abspos_center_cpu,0,-18,0.3081
vit_abspos_center_cpu,6,-18,0.2276
vit_abspos_center_cpu,12,-18,0.1781
vit_abspos_center_cpu,18,-18,0.1784
vit_abspos_center_cpu,-18,-12,0.0586
vit_abspos_center_cpu,-12,-12,0.1204
vit_abspos_center_cpu,-6,-12,0.1559
vit_abspos_center_cpu,0,-12,0.2696
vit_abspos_center_cpu,6,-12,0.1545
vit_abspos_center_cpu,12,-12,0.1743
vit_abspos_center_cpu,18,-12,0.1453
vit_abspos_center_cpu,-18,-6,0.0607
vit_abspos_center_cpu,-12,-6,0.1356
vit_abspos_center_cpu,-6,-6,0.1694
vit_abspos_center_cpu,0,-6,0.4537
vit_abspos_center_cpu,6,-6,0.2449
vit_abspos_center_cpu,12,-6,0.1669
vit_abspos_center_cpu,18,-6,0.1576
vit_abspos_center_cpu,-18,0,0.1334
vit_abspos_center_cpu,-12,0,0.1967
vit_abspos_center_cpu,-6,0,0.2578
vit_abspos_center_cpu,0,0,0.8667
vit_abspos_center_cpu,6,0,0.3567
vit_abspos_center_cpu,12,0,0.2388
vit_abspos_center_cpu,18,0,0.1811
vit_abspos_center_cpu,-18,6,0.1759
vit_abspos_center_cpu,-12,6,0.1687
vit_abspos_center_cpu,-6,6,0.2827
vit_abspos_center_cpu,0,6,0.5659
vit_abspos_center_cpu,6,6,0.3624
vit_abspos_center_cpu,12,6,0.2068
vit_abspos_center_cpu,18,6,0.1194
